==============================================================================================
There are 173 records found

Search criteria:
  Start: 2020-01-01		End: 2022-01-05
  0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Realtime Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2020-09-04,19:52:10.5,23.2100,120.8200,5.00,4.10,182.83,63.41,-2.25,273.84,87.99,-153.39,-1.045799,-0.092872,-1.142079,4.487656,2.231876,0.183800,-1.142079,-1.045799,-0.092872,2.231876,-0.183800,-4.487660,21,5.13395e+21,3.74,15,12.3,-13.5,0.420,228.100,7,141.568,19.958,-82.153,63.322,45.211,16.958,B3
2020-09-17,01:37:52.5,23.0500,121.3300,17.30,4.90,206.09,28.78,90.96,25.00,61.22,89.47,-1.262952,-3.813545,6.105401,1.590142,1.400204,-3.093695,6.105401,-1.262952,-3.813545,1.400204,3.093690,-1.590140,22,6.38491e+22,4.47,17,25.0,4.8,0.335,213.900,7,115.383,16.223,25.249,0.462,-66.339,73.770,B3
2020-09-20,23:54:47.5,22.4300,121.6300,16.80,4.60,76.37,80.25,176.73,166.92,86.78,9.77,3.571140,-4.131426,0.687503,7.632890,0.667253,1.305185,0.687503,3.571140,-4.131426,0.667253,-1.305190,-7.632890,22,8.69235e+22,4.56,9,11.3,0.5,0.499,206.000,7,-58.721,4.588,-174.987,79.721,32.022,9.178,B2
2020-09-23,04:00:02.5,23.3200,121.4900,31.90,4.80,217.67,40.97,123.61,356.31,56.91,64.33,0.113884,-3.289701,2.651366,1.117091,-0.816111,-1.197846,2.651366,0.113884,-3.289701,-0.816111,1.197850,-1.117090,22,3.50445e+22,4.30,26,10.2,-4.7,0.284,172.700,7,104.357,8.499,11.020,21.280,-145.106,66.929,A2
2020-09-28,19:05:08.5,22.3900,121.0100,10.90,4.40,149.41,39.49,8.82,52.58,84.41,129.16,1.612787,-2.073442,0.460656,0.690927,2.064274,-1.232552,0.460656,1.612787,-2.073442,2.064274,1.232550,-0.690927,22,3.13273e+22,4.27,23,7.1,0.0,0.309,321.600,7,112.055,28.473,-131.958,38.934,-2.944,37.926,B1
2020-09-28,20:50:54.5,22.3900,121.0400,9.90,5.30,153.53,26.07,6.38,57.80,87.20,115.93,0.251533,-1.839450,-0.407290,0.577954,2.130366,-1.214857,-0.407290,0.251533,-1.839450,2.130366,1.214860,-0.577954,23,2.85565e+23,4.91,21,6.0,-19.8,0.370,324.100,7,125.044,36.915,-123.566,25.897,-7.601,42.044,B3
2020-09-29,01:14:17.5,22.3800,121.0300,9.90,5.00,162.19,34.00,24.67,51.35,76.50,121.51,0.644435,-1.637891,0.993456,0.685188,1.756356,-0.898465,0.993456,0.644435,-1.637891,1.756356,0.898465,-0.685188,23,2.53061e+23,4.87,20,10.3,0.0,0.370,321.700,7,117.301,24.909,-136.798,30.541,-4.609,48.700,B2
2020-09-30,04:37:20.5,24.8500,122.1300,106.50,5.90,27.68,12.22,133.28,163.75,81.14,81.56,0.535328,-2.182716,1.646140,0.151386,1.619841,5.274913,1.646140,0.535328,-2.182716,1.619841,-5.274910,-0.151386,23,5.86104e+23,5.12,97,8.3,0.0,0.284,259.500,7,-98.918,35.600,165.055,8.344,63.776,53.135,A1
2020-10-03,19:46:24.5,24.2100,120.8200,27.20,4.10,231.11,29.09,100.54,39.09,61.44,84.19,-0.563436,-0.546352,1.111609,0.486858,0.380413,-0.583894,1.111609,-0.563436,-0.546352,0.380413,0.583894,-0.486858,21,1.28394e+21,3.34,23,12.4,0.0,0.409,166.500,6,133.367,16.256,41.875,5.102,-65.018,72.919,B2
2020-10-05,02:05:06.5,23.2000,120.8200,5.70,4.50,72.20,75.24,-177.50,341.56,87.58,-14.77,1.356172,-0.712018,-0.128881,1.433798,0.172277,0.413080,-0.128881,1.356172,-0.712018,0.172277,-0.413080,-1.433800,22,1.85404e+22,4.12,12,29.5,8.0,0.388,132.100,7,-64.065,12.121,152.475,75.034,27.807,8.646,B4
